15256	-2836	-5636	35	1179	3196
15140	-2752	-5432	-1435	-13	-1744
15684	-2488	-5148	107	597	-225
15664	-2248	-5512	-114	3001	2466
15792	-896	-3984	-4591	-1213	511
15376	-1660	-6072	-1476	2233	4446
14228	-1988	-5596	2129	6566	6941
15016	-2756	-3788	-2410	668	265
15556	-1920	-4144	-1314	1288	4200
15116	-2536	-5368	3358	2608	1667
15056	-2880	-3788	-1591	1069	2539
15436	-1656	-3256	822	3180	1205
15864	-2352	-4432	3205	1789	3502
16432	-5960	-5032	-3413	2311	6464
15024	-3440	-4288	-1784	-1369	-1224
15652	-3600	-3180	-106	-238	-3396
13700	-5216	-7124	-1038	4900	7540
15224	-4772	-2908	-48	844	-289
16200	-6612	-3780	-1470	756	1334
14804	-4796	-3020	-151	903	533
15672	-4308	-3240	-1555	-1007	-2845
15504	-4116	-4096	-121	3117	4100
15436	-4512	-3396	-795	259	850
15512	-4380	-3480	-1805	123	-478
15392	-4320	-3632	-388	409	458
15592	-4116	-3636	444	339	-1082
15796	-3972	-3472	-557	236	1243
14340	-5276	-1412	683	-3417	1333
15408	-4264	-3828	-179	-619	-3668
15972	-3624	-3544	-374	755	2235
13428	-7168	-952	-2083	1931	17904
20476	332	-8172	16364	-19876	-22408
12344	1832	-4444	23417	-18862	-32768
15252	1976	-8064	31790	11464	-19438
-28020	32767	-2924	-20781	1025	-32768
14664	1504	1692	8390	-2203	21151
18400	7280	-5936	25330	-32768	-32768
14604	6308	-4568	10659	-7780	-15495
21052	-30540	7272	-32768	-32768	-32768
14476	-2532	-4952	-14580	26788	32767
12928	-19156	-2596	-22452	32767	32767
15124	988	4372	-22688	-325	12898
15084	-1176	3240	10767	339	-76
17488	-1164	9552	-3958	-318	4544
18244	-1096	3328	6542	11039	18783
16552	-12520	12040	32767	32767	32767
1960	-11136	14852	24064	32767	32767
-4396	-7312	17808	3304	9515	10052
-6864	-1048	16608	13105	-4649	-474
-9664	-1084	21156	11901	-10476	8683
-4796	2956	15764	4230	-16916	4034
-3840	2476	17432	1735	-7771	3998
-1412	5088	17472	239	1712	4733
2892	3380	18784	-10990	9760	-17165
-648	-972	18360	-3386	8167	12164
-1344	-36	17340	-715	3184	2558
-2252	-1100	17596	-2333	4110	-293
-2084	-1000	17320	-653	1194	-1141
-2248	-624	17596	-2928	6748	102
-6432	1028	12856	3127	19544	7799
-14284	2836	10552	5614	30451	-2259
-15948	2856	2536	2867	16103	-1347
-16136	2112	-344	636	4726	-307
-16004	2512	-588	-593	-864	-666
-15908	1968	-376	-1451	2935	-1465
-15780	2216	1156	-946	-716	-616
-17232	1356	3304	-304	-18847	-1161
-10300	-116	7040	7844	-30153	-4333
-800	6292	12624	6707	-8064	-58
-2000	5200	18588	-2751	-5355	4977
-1588	2516	17188	-3180	-4834	360
-832	1996	15872	19030	-25733	-7102
5412	14228	14016	25819	-3888	-12502
5872	14260	6352	13108	-5148	-7416
6224	15100	3024	9396	-2215	135
5280	15744	3948	-3021	-107	-4097
5072	15388	6636	-10313	1822	-379
9836	20276	7876	-32768	7916	7890
8908	-4232	12480	-32768	-6760	-13521
8676	-12468	13456	-27574	-12010	26019
92	-13916	9416	-27047	2397	32767
-3928	-14316	7068	-6437	6365	15516
-7612	-13276	4756	-3849	2579	6772
-5676	-14772	7792	-8432	3156	-3706
-3752	-11760	13992	32767	-32768	-22253
7876	-8976	15000	6038	-16045	-32768
10864	8048	10300	19969	-10603	-32768
-5600	26768	-1144	-32768	-32768	18233
5856	6464	-1540	32767	32767	-17083
4468	-1184	-1752	-6699	3974	-45
1068	380	1776	-2183	2991	4221
12064	-11504	-1564	-816	-3701	-6866
12192	-11436	-1528	-156	749	1493
11580	-11928	-1292	363	-560	2190
11524	-11996	-1112	-493	535	551
11392	-11956	-1104	1789	-3063	-1564
11640	-11836	-1480	792	-1240	-332
11948	-11468	-1464	-459	351	524
